city,total_orders,total_revenue
PILANI TOWN,13,10237.0
AKBARPUR,10,10233.0
Jammu,18,10170.0
Salem,17,10161.0
DEOBAND,11,10156.0
TUNI,18,10135.32
KUMARAPALAYAM,22,10124.57
East Delhi,10,10115.95
PAURI,17,10107.0
JUNAGADH,15,10093.0
SIRSA,15,10089.1
BELA PRATAPGARH,15,10087.380000000001
ROBERTSGANJ,12,10014.0
ALANTHURAI,11,9985.0
Burhanpur,15,9963.25
CHILAKALURIPET,14,9954.25
DAMAN,14,9952.54
DUMKA,16,9898.0
Pathanamthitta,15,9875.27
Rourkela,11,9849.0
BURLA,12,9849.0
BUXAR,11,9802.0
Silchar,13,9796.0
PILKHUWA,16,9759.14
NAVELIM,17,9716.0
PERINTHALMANNA,15,9711.09
jaipur,17,9706.0
DUNGARPUR,13,9692.869999999999
MAVOOR,13,9692.57
MAVELIKKARA,16,9669.0
MORENA,17,9663.0
AMALAPURAM,19,9641.0
MODINAGAR,15,9619.76
GOPALGANJ,18,9613.86
RAJSAMAND,8,9612.0
Gangtok,12,9601.0
NORTH DELHI,12,9597.86
BETUL,13,9597.86
KAYAMKULAM,17,9564.86
NORTH WEST DELHI,15,9547.0
Vizianagaram,16,9544.0
MAHABUBABAD,13,9533.29
"Avinashi, Tirupur",13,9507.0
KUSHINAGAR,12,9477.29
Virar west,16,9462.0
RUSHIKONDA APIIC,15,9457.0
SULYA,11,9450.0
Raipur,15,9427.1
EDATHALA,15,9426.0
Malappuram,16,9403.0
Manipal,12,9401.0
PROTHRAPUR,17,9393.0
FAROOQNAGAR,13,9381.72
Thalassery,14,9371.48
Jorhat,12,9363.0
PATAN,14,9353.0
HAPUR,11,9326.0
FATEHABAD,12,9316.0
GUDALUR THE NILGIRIS DISTRICT,11,9299.0
MOGA,15,9296.0
NAWADA,10,9295.0
ADONI,14,9280.0
JATANI,13,9247.0
TADEPALLIGUDEM,13,9239.0
THIRUVARUR,17,9226.0
BALANGIR,16,9220.380000000001
FIROZPUR,14,9197.0
Calicut,14,9172.43
VIKASNAGAR,13,9167.0
SAWAI MADHOPUR,15,9159.0
NORTH LAKHIMPUR,12,9155.71
KAPURTHALA,13,9120.0
PALACOLE,14,9115.57
PORBANDAR,13,9104.0
KADUNGALLOOR,15,9088.0
Karur,21,9070.9
Srinagar,15,9064.81
BICHOLIM,18,9044.14
Dombivli West,13,9038.0
SANGRUR,13,9032.0
BHUSAWAL,15,9030.0
udaipur,11,9020.0
DHEMAJI,12,9014.0
NARASAPUR,12,8986.0
Thane West,13,8948.0
LALITPUR,12,8947.29
MAHINDRA WORLD CITY,15,8947.0
coimbatore,14,8940.25
Zirakpur,11,8929.619999999999
SURYAPET,14,8920.24
DHAMTARI,13,8917.0
BIHARSHARIF,12,8910.0
PANDHARPUR,11,8908.0
MADUKKARAI,15,8854.1
SHAMLI,12,8847.81
KAITHAL,14,8845.0
CANACONA,13,8844.86
BARUIPUR,15,8825.0
Ahmednagar,10,8811.0
NEYVELI,14,8809.0
BILIMORA,12,8806.42
Kalyan west,13,8803.0
THENI ALLINAGARAM,11,8792.0
RISHRA,13,8777.0
GANJAM,11,8769.67
SUPAUL,10,8768.0
CHANDI MANDIR,10,8749.0
CHURU,14,8748.62
